	mean	std
388795	2.5848756084369904	12.799980617989789
8225	740.1405877771758	411.13135097759596
90288	41.669557995312694	88.18637431579413
1	2112.3484645393896	14414.63023055775
87769	116.49708555976189	113.54755662013389
2	19153.872383937287	33123.456177354325
53947	672.2897867495922	843.28500828408
51146	9.565957905173944	74.48682726868095
8086	864.9969519379836	343.7629058354134
65985	862.8577831981268	597.4931352215787
13	360.99285954569984	1977.4694076032945
51166	149.8848252028128	184.85155526681828
79719	1133.5833508382882	515.6880941130136
22848	1182.0788510726502	784.6599122562684
14	2631.1463196502714	882.4122720681816
15	1.4283856679286078	4.903549356146285
57505	588.2328758067425	386.213743561054
80755	639.4107290246977	346.47210187410417
16	3760.515057382366	1893.001402316426
60496	919.568582080405	531.2876433967779
132949	256.0082822065979	127.95482317989479
10157	474.18613225166683	618.4094889227623
9625	291.76777294032786	639.2713301658267
18	1912.2356724175252	3529.395030084998
10349	29.908484964845844	95.87177792280666
26154	232.24267728501835	654.1358914216308
154664	179.85710829277116	570.4958212366579
19	1246.9940496124004	1067.4257055708974
20	2120.11772565351	2547.083971650377
21	1736.8841304488967	2462.9485658875155
24	101.97312981791976	676.6532997613219
23461	419.9454176311527	378.71487716192416
10347	499.1053225166758	525.9953528637699
10350	74.90533890391204	289.5050781853466
23456	483.35927061474797	274.9824787945094
5243	483.9424591671174	1278.2836651105788
5244	215.3429957634751	1070.281451339556
10058	836.4750024157211	649.6209393095583
22	436.08236574725055	163.7837266711418
11194	884.386827005591	524.2954733325846
23457	194.27491876690144	163.05924474098677
89845	594.719244817018	319.30130936829084
85320	206.74912888047584	1031.6047840851934
1244	294.70700845501966	1048.352177594722
8714	1781.434414476293	2684.89587291132
10257	1365.551332936725	3894.299820789249
10057	1582.2468912385032	2321.665586201001
10060	281.1422823327936	437.01695183064294
215	719.9168394086903	1082.2888514358563
5825	1419.5544966648572	959.869566844104
5826	683.3941292230016	431.17999251507973
6059	1539.0035548224234	749.0865888623285
10061	1513.202675049581	623.8835299290898
55324	1413.5457126194292	727.397022917678
9619	863.0039518298158	704.2165056750293
9429	246.83902615828373	693.4926225079256
64137	19.344166143861585	51.532284485481625
55347	791.6937614566456	412.3871044620785
83451	996.4638934559244	980.7432366728439
145447	26.30575258698395	151.73846452807464
26090	2074.775470055889	1224.72925916054
84945	451.52422815936484	189.3860838892826
25864	447.05819578150226	435.9756613876732
84836	1849.731602884445	1433.7858403653206
116236	385.71989592572675	271.5003973053662
84696	21.405234847665433	46.009624584618564
11057	5368.02796122229	7023.408104428288
171586	555.4753460429072	494.2613845603238
63874	1139.7298221561234	724.4548883160725
51099	613.3629743645212	316.33939395421254
57406	363.82504654768337	388.41544436053726
79575	412.5418757166032	330.6456496528755
10006	1552.7001247340875	671.6001927560567
10152	1477.7630425996044	1107.9983897088648
25890	646.8066089417691	1547.7935646873543
25	2408.472083306299	1225.7595491666293
27	1038.1731833423466	788.0304822236665
3983	3198.304576221394	2504.5641596920627
84448	184.6888492698759	257.39575154399245
22885	720.9046096087972	981.7987683595242
28	86.46876347575268	163.0772072287196
26	1206.8187981070816	4160.819638165774
29777	735.6667114296009	321.40187816580345
80325	598.1241774652975	358.0565326905338
25841	346.1869492698754	370.6758700938828
30	1649.726376726162	1940.134098245962
10449	1840.5671768162872	2867.8261440478154
32	589.6570944113939	767.906702850434
80724	677.9557568595626	461.8909142350137
84129	751.7661286641394	1381.828883812062
27034	667.4450799170722	830.8162838069687
28976	1022.9858549666516	394.2088984235388
34	1075.864647268789	823.3886839465804
36	1159.6626968992227	1797.781006797673
35	714.8696162430135	894.882122797131
37	5811.234734451055	4221.1088823796445
9744	207.0643693888583	387.30297283721904
23527	1317.517740670635	898.9296145124007
116983	1075.5637297458068	1022.5428957805585
38	1704.8943679646643	2700.945131541856
39	749.5091954750321	998.8071552212094
64746	1546.87394624121	735.0910792097498
79777	353.77721617090384	379.69172125073936
91452	974.2980970794989	602.8750738617681
414149	152.11623827294054	377.38462532853487
41	357.56159433928303	962.6202679351868
9311	43.846191977645596	105.87469351000823
55515	172.2629304308637	845.3675486704149
51802	0.32105703984135553	5.186347109948582
84680	273.5460149990989	310.6218068522074
65057	468.14680095547214	219.92867203672455
59272	417.92931572020876	2455.6780216185593
340485	124.8515587164234	329.81160992689524
55331	448.7300563728129	395.64893235988757
1636	750.2279828015179	970.6761916686492
43	198.6016714440239	559.6882433695881
22985	3147.5306280872464	1156.2989375744498
47	4434.258173445111	4704.59131687932
130013	174.93464378943614	596.5506916679719
57001	269.8368286461155	196.9613111545153
48	1330.834341409773	1148.0092236086268
50	3739.827520749942	2497.0912786069084
26027	281.22682916892006	360.6034097119031
55856	760.9372503335146	477.25802081111874
641371	480.40253129619543	538.38440881474
10965	316.0437039120252	273.6401680043024
122970	123.02186241211463	149.5633153897357
11332	1172.5794567694224	1224.1250787381684
10005	530.8500062736615	346.8491135663493
23597	576.2744734451048	353.35471214630604
51	1955.095023994945	1666.849254174088
8309	322.64935992428383	737.2818839999941
8310	460.9945195781504	282.35004606561506
55289	22.13904530376782	65.60021450419093
52	1772.898339733187	703.4487161844572
53	1300.249896881203	642.5110859633919
54	1803.0707379484431	6187.427933118825
51205	380.70526623400195	292.97043188575526
92370	489.46887070488447	444.03033661055196
55	6137.681997872725	33330.41717211339
93650	1.2180747431043815	11.20721347075605
84519	52.6956935821164	78.33719218220578
93953	28.101192536506336	47.280213903481325
56	3.645319632233644	6.536221366864483
23205	108.686577266991	387.6398035757483
81616	1.7764486749594324	4.458828030069131
80221	737.1238053903008	891.3571342900422
197322	470.4327609158112	252.28376786278287
2180	2953.449543735353	4719.174796114075
2181	2666.120509158117	2396.8594066897567
2182	1777.7311230575078	3169.8559487172515
51703	1536.9724361817152	2512.01388007948
23305	95.16750843699306	289.8264898992073
116285	188.001377807824	1042.7444577490585
6296	297.3492354245542	579.9532558351837
84532	1332.355086713538	1208.736015864799
55902	1326.5295619253668	1429.5472801901474
79611	314.1151591310624	658.3671788190298
58	469.31564144582643	7413.237775823046
59	7562.020194681803	15920.828062814675
345651	6.920500396610775	54.92543194526616
60	105075.35236444909	48398.07076573194
71	74962.19561869494	35119.234323507655
72	3784.5070312601447	19442.26862423542
86	1282.4714875428158	999.7689886781573
81569	46.70313638002517	332.8021941409339
87	5836.805819848574	5186.727927755604
88	201.6771644492516	1740.2323312082376
81	13131.3868248062	9781.235523098332
55860	1022.760010059493	368.183551232547
10121	2844.503829241034	1061.5672195501118
10120	1543.6696662520262	572.0803850644171
10097	5801.1753259599645	2417.1802688100056
57180	231.00227427438267	190.5369619843958
653857	55.00868694789961	62.79500343876056
10096	4406.541619109414	2171.21536736881
79913	256.2563406526054	121.20038750182059
64431	513.1047372633851	212.8601375416792
93973	448.8275678925545	161.44371854868115
91	1380.4443461510775	860.1828231077743
130399	63.69179237425639	119.97752984918873
90	966.7244153957068	619.6431282648541
92	339.28346675680575	183.67244310179467
93	387.70421986659386	343.410730765921
94	601.5270156120433	777.1250652487724
95	1198.292615810348	1536.8533682669083
91703	148.06154404182442	333.67230390611894
97	120.1026687398596	94.35498899633917
98	178.8511494681813	183.93539179345353
161823	175.29303118802937	97.84589433948227
102	1723.5213506580183	1090.6782189810299
4185	55.467400234361065	182.26253002539886
8038	796.3263760050475	1537.4716233294364
8751	3279.836415648095	2317.625198596007
6868	732.1955753740774	533.894708568309
8728	582.0569586262862	888.2530768338272
8748	1.9940144762934897	3.240582637402087
8747	6.562643537047049	10.316356826921357
53616	94.19318215251472	198.23289903215988
8745	230.59123068325266	684.2766891510466
10863	242.81177376960574	435.26307356530384
101	582.0014364160818	860.6491531470373
8754	2989.38974296016	2851.4403138037314
81794	174.947691653146	224.18823341997293
81792	151.5791304308641	266.9052107660528
11093	112.38432239048144	122.6199530036758
140766	156.77017825851811	291.9277653532484
